label,message
ham,Did you finish watching the new season of that documentary?
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Win a free vacation to Hawaii! Click here to enter now!
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Did you finish watching the new season of that documentary?
ham,Let's catch up over a walk this weekend.
ham,Did you finish watching the new season of that documentary?
spam,Win a free vacation to Bahamas! Click here to enter now!
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://bit.ly/xyz to claim now!"
ham,Don't forget to bring your folder for the meeting.
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Let's catch up over a walk this weekend.
spam,Win a free vacation to Bahamas! Click here to enter now!
ham,Did you finish watching the new season of that documentary?
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Win a free vacation to Europe! Click here to enter now!
spam,Win a free vacation to Hawaii! Click here to enter now!
ham,Can you send me the assignment notes when you get a chance?
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
spam,"Congratulations! You've won a $1,000 Amazon voucher. Go to http://bit.ly/xyz to claim now!"
spam,Win a free vacation to Bahamas! Click here to enter now!
ham,Can you send me the presentation slides when you get a chance?
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://bit.ly/xyz to claim now!"
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Can you send me the assignment notes when you get a chance?
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Let's catch up over a walk this weekend.
spam,Win a free vacation to Bahamas! Click here to enter now!
ham,Let's catch up over a walk this weekend.
ham,Let's catch up over a walk this weekend.
ham,Don't forget to bring your notebook for the meeting.
ham,"Hey, are we still on for lunch tomorrow?"
ham,Don't forget to bring your notebook for the meeting.
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Your subscription has expired. Renew now to avoid losing access.
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Did you finish watching the new season of that series?
ham,Did you finish watching the new season of that documentary?
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Did you finish watching the new season of that documentary?
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://bit.ly/xyz to claim now!"
spam,Win a free vacation to Hawaii! Click here to enter now!
ham,"Hey, are we still on for the meeting?"
ham,Don't forget to bring your laptop for the meeting.
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://bit.ly/xyz to claim now!"
ham,Let's catch up over coffee this weekend.
ham,Don't forget to bring your laptop for the meeting.
ham,Let's catch up over a walk this weekend.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
ham,Did you finish watching the new season of that show?
ham,Did you finish watching the new season of that show?
spam,Win a free vacation to Bahamas! Click here to enter now!
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Did you finish watching the new season of that show?
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Win a free vacation to Hawaii! Click here to enter now!
spam,"Congratulations! You've won a $1,000 Amazon voucher. Go to http://bit.ly/xyz to claim now!"
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Let's catch up over a movie this weekend.
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Can you send me the draft report when you get a chance?
ham,Don't forget to bring your folder for the meeting.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Can you send me the draft report when you get a chance?
ham,Let's catch up over coffee this weekend.
ham,Let's catch up over coffee this weekend.
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Don't forget to bring your folder for the meeting.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Let's catch up over coffee this weekend.
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Your subscription has expired. Renew now to avoid losing access.
ham,"Hey, are we still on for lunch tomorrow?"
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Did you finish watching the new season of that series?
spam,Your subscription has expired. Renew now to avoid losing access.
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://offers.com/win to claim now!"
ham,Don't forget to bring your folder for the meeting.
ham,Did you finish watching the new season of that series?
ham,Did you finish watching the new season of that show?
ham,Don't forget to bring your notebook for the meeting.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Can you send me the draft report when you get a chance?
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Don't forget to bring your notebook for the meeting.
ham,Can you send me the assignment notes when you get a chance?
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Did you finish watching the new season of that documentary?
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,"Hey, are we still on for lunch tomorrow?"
ham,"Hey, are we still on for dinner tonight?"
ham,"Hey, are we still on for dinner tonight?"
spam,Win a free vacation to Bahamas! Click here to enter now!
spam,Your subscription has expired. Renew now to avoid losing access.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
ham,Can you send me the presentation slides when you get a chance?
ham,"Hey, are we still on for lunch tomorrow?"
ham,Don't forget to bring your folder for the meeting.
ham,Don't forget to bring your laptop for the meeting.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Did you finish watching the new season of that documentary?
ham,Don't forget to bring your notebook for the meeting.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
ham,Did you finish watching the new season of that series?
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
ham,"Hey, are we still on for lunch tomorrow?"
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Did you finish watching the new season of that series?
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
ham,Don't forget to bring your laptop for the meeting.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,"Hey, are we still on for lunch tomorrow?"
ham,Let's catch up over coffee this weekend.
ham,"Hey, are we still on for the meeting?"
spam,Win a free vacation to Bahamas! Click here to enter now!
ham,"Hey, are we still on for dinner tonight?"
ham,"Hey, are we still on for dinner tonight?"
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Win a free vacation to Europe! Click here to enter now!
ham,"Hey, are we still on for the meeting?"
spam,Your subscription has expired. Renew now to avoid losing access.
ham,"Hey, are we still on for dinner tonight?"
ham,Did you finish watching the new season of that show?
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Can you send me the presentation slides when you get a chance?
spam,Your subscription has expired. Renew now to avoid losing access.
ham,"Hey, are we still on for the meeting?"
ham,Can you send me the draft report when you get a chance?
spam,Win a free vacation to Europe! Click here to enter now!
spam,Win a free vacation to Europe! Click here to enter now!
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Let's catch up over coffee this weekend.
ham,Don't forget to bring your laptop for the meeting.
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
spam,Win a free vacation to Hawaii! Click here to enter now!
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Don't forget to bring your folder for the meeting.
ham,Let's catch up over a walk this weekend.
ham,Can you send me the presentation slides when you get a chance?
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Win a free vacation to Hawaii! Click here to enter now!
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://bit.ly/xyz to claim now!"
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Let's catch up over a walk this weekend.
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
spam,Win a free vacation to Hawaii! Click here to enter now!
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Let's catch up over a walk this weekend.
ham,Did you finish watching the new season of that show?
spam,Your subscription has expired. Renew now to avoid losing access.
ham,"Hey, are we still on for dinner tonight?"
ham,"Hey, are we still on for dinner tonight?"
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Can you send me the presentation slides when you get a chance?
ham,Don't forget to bring your notebook for the meeting.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,"Congratulations! You've won a $1,000 Amazon voucher. Go to http://spam.link to claim now!"
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://bit.ly/xyz to claim now!"
ham,Don't forget to bring your notebook for the meeting.
ham,Can you send me the draft report when you get a chance?
ham,Did you finish watching the new season of that series?
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
ham,Can you send me the presentation slides when you get a chance?
spam,Win a free vacation to Bahamas! Click here to enter now!
spam,Your subscription has expired. Renew now to avoid losing access.
spam,"Congratulations! You've won a $1,000 Amazon voucher. Go to http://spam.link to claim now!"
ham,Did you finish watching the new season of that show?
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://spam.link to claim now!"
ham,Did you finish watching the new season of that series?
ham,Did you finish watching the new season of that series?
ham,Did you finish watching the new season of that show?
ham,Did you finish watching the new season of that documentary?
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Don't forget to bring your laptop for the meeting.
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://offers.com/win to claim now!"
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
ham,Did you finish watching the new season of that series?
ham,Can you send me the assignment notes when you get a chance?
spam,"Congratulations! You've won a $1,000 Amazon voucher. Go to http://spam.link to claim now!"
ham,"Hey, are we still on for dinner tonight?"
ham,Let's catch up over a walk this weekend.
ham,Don't forget to bring your folder for the meeting.
ham,Can you send me the draft report when you get a chance?
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
ham,Don't forget to bring your laptop for the meeting.
ham,Let's catch up over a movie this weekend.
ham,Let's catch up over a walk this weekend.
ham,Can you send me the assignment notes when you get a chance?
ham,Let's catch up over a movie this weekend.
ham,Let's catch up over a walk this weekend.
ham,Don't forget to bring your laptop for the meeting.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Let's catch up over a walk this weekend.
ham,Let's catch up over a movie this weekend.
spam,Win a free vacation to Europe! Click here to enter now!
ham,Did you finish watching the new season of that series?
ham,Let's catch up over coffee this weekend.
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
ham,Did you finish watching the new season of that documentary?
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
ham,Let's catch up over coffee this weekend.
spam,Win a free vacation to Europe! Click here to enter now!
ham,Did you finish watching the new season of that series?
spam,Win a free vacation to Hawaii! Click here to enter now!
ham,"Hey, are we still on for dinner tonight?"
ham,Don't forget to bring your folder for the meeting.
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://bit.ly/xyz to claim now!"
ham,Can you send me the presentation slides when you get a chance?
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://spam.link to claim now!"
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Did you finish watching the new season of that documentary?
ham,Did you finish watching the new season of that series?
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Don't forget to bring your folder for the meeting.
ham,Let's catch up over a walk this weekend.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://offers.com/win to claim now!"
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://spam.link to claim now!"
ham,Can you send me the presentation slides when you get a chance?
ham,"Hey, are we still on for lunch tomorrow?"
ham,Did you finish watching the new season of that documentary?
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://bit.ly/xyz to claim now!"
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,"Hey, are we still on for the meeting?"
ham,"Hey, are we still on for lunch tomorrow?"
ham,Don't forget to bring your folder for the meeting.
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Did you finish watching the new season of that show?
spam,Win a free vacation to Europe! Click here to enter now!
ham,Don't forget to bring your folder for the meeting.
ham,Don't forget to bring your notebook for the meeting.
ham,Don't forget to bring your laptop for the meeting.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,"Hey, are we still on for dinner tonight?"
spam,Win a free vacation to Hawaii! Click here to enter now!
ham,"Hey, are we still on for the meeting?"
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
ham,"Hey, are we still on for the meeting?"
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,"Hey, are we still on for lunch tomorrow?"
ham,Can you send me the draft report when you get a chance?
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,"Hey, are we still on for the meeting?"
spam,Your subscription has expired. Renew now to avoid losing access.
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://offers.com/win to claim now!"
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://offers.com/win to claim now!"
ham,Let's catch up over coffee this weekend.
ham,"Hey, are we still on for the meeting?"
ham,Did you finish watching the new season of that series?
ham,"Hey, are we still on for dinner tonight?"
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://spam.link to claim now!"
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://spam.link to claim now!"
ham,Don't forget to bring your laptop for the meeting.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
spam,Win a free vacation to Hawaii! Click here to enter now!
ham,Don't forget to bring your folder for the meeting.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Can you send me the assignment notes when you get a chance?
ham,Let's catch up over a walk this weekend.
ham,Did you finish watching the new season of that show?
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Did you finish watching the new season of that series?
ham,Let's catch up over coffee this weekend.
ham,Can you send me the assignment notes when you get a chance?
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Don't forget to bring your folder for the meeting.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
spam,Win a free vacation to Bahamas! Click here to enter now!
ham,"Hey, are we still on for the meeting?"
ham,"Hey, are we still on for lunch tomorrow?"
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Don't forget to bring your folder for the meeting.
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Can you send me the assignment notes when you get a chance?
ham,Can you send me the presentation slides when you get a chance?
ham,Let's catch up over coffee this weekend.
ham,Let's catch up over coffee this weekend.
ham,Don't forget to bring your notebook for the meeting.
ham,Did you finish watching the new season of that show?
ham,Can you send me the presentation slides when you get a chance?
spam,"Congratulations! You've won a $1,000 Amazon voucher. Go to http://spam.link to claim now!"
ham,Don't forget to bring your laptop for the meeting.
ham,Let's catch up over coffee this weekend.
ham,Can you send me the draft report when you get a chance?
ham,Don't forget to bring your notebook for the meeting.
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://spam.link to claim now!"
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://offers.com/win to claim now!"
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://offers.com/win to claim now!"
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Let's catch up over coffee this weekend.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
spam,Win a free vacation to Hawaii! Click here to enter now!
ham,Did you finish watching the new season of that series?
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://bit.ly/xyz to claim now!"
spam,Your subscription has expired. Renew now to avoid losing access.
spam,URGENT! Your account has been compromised. Call 123-456-7890 immediately to secure it.
ham,Let's catch up over a walk this weekend.
ham,Don't forget to bring your laptop for the meeting.
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
ham,Did you finish watching the new season of that documentary?
ham,Let's catch up over a walk this weekend.
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
spam,Win a free vacation to Europe! Click here to enter now!
ham,Can you send me the presentation slides when you get a chance?
ham,"Hey, are we still on for the meeting?"
ham,Can you send me the assignment notes when you get a chance?
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Don't forget to bring your laptop for the meeting.
spam,Your subscription has expired. Renew now to avoid losing access.
spam,Limited-time offer! Buy one get one free on all items. Visit our store today!
ham,Can you send me the draft report when you get a chance?
ham,Can you send me the presentation slides when you get a chance?
spam,Win a free vacation to Hawaii! Click here to enter now!
spam,Win a free vacation to Bahamas! Click here to enter now!
spam,Win a free vacation to Hawaii! Click here to enter now!
ham,Did you finish watching the new season of that documentary?
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://spam.link to claim now!"
spam,Your subscription has expired. Renew now to avoid losing access.
ham,Let's catch up over a walk this weekend.
ham,Can you send me the presentation slides when you get a chance?
ham,"Hey, are we still on for lunch tomorrow?"
spam,Your subscription has expired. Renew now to avoid losing access.
spam,"Congratulations! You've won a $1,000 cash prize. Go to http://bit.ly/xyz to claim now!"
spam,URGENT! Your account has been compromised. Call 555-555-5555 immediately to secure it.
ham,Don't forget to bring your notebook for the meeting.
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
ham,Don't forget to bring your folder for the meeting.
ham,Did you finish watching the new season of that series?
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://offers.com/win to claim now!"
ham,Let's catch up over coffee this weekend.
ham,Don't forget to bring your notebook for the meeting.
spam,URGENT! Your account has been compromised. Call 987-654-3210 immediately to secure it.
ham,"Hey, are we still on for lunch tomorrow?"
ham,"Hey, are we still on for the meeting?"
ham,Don't forget to bring your laptop for the meeting.
ham,"Hey, are we still on for dinner tonight?"
ham,Can you send me the draft report when you get a chance?
